NO,NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude,X,Y,,,,,,,,,,,,,,,,
1,105 Losmen,Non Bintang,Melati,15,Sosrowijayan Wetan GT I/105,-7.790382,110.36593,430089.3909,9138823.194,,,,,,,,,,,,,,,,
2,51 Losmen,Non Bintang,Melati,2,Sosrowijayan Wetan Gt I/51 RT 013 RW 02,-7.790211,110.36412,429889.7894,9138841.799,,,,,,,,,,,,,,,,
3,Abadi Hotel Malioboro,Bintang,Bintang Tiga,85,Jl. Pasar Kembang No. 49,-7.790189,110.36325,429793.8584,9138844.087,,,,,,,,,,,,,,,,
4,Abrakadabra ART B&B,Non Bintang,Akomodasi Lain,6,Minggiran Baru No. 19,-7.820833,110.36107,429558.6196,9135455.81,,,,,,,,,,,,,,,,
5,Adaro Homestay,Non Bintang,Vila,2,Demakan Baru TR III/765,-7.790391,110.35188,428540.2192,9138819.849,,,,,,,,,,,,,,,,
6,Adelia Homestay,Non Bintang,Akomodasi Lain,4,Tentara Zeni Pelajar No. 63 RT 006 RW 002,-7.783499,110.35843,429261.276,9139582.911,,,,,,,,,,,,,,,,
7,Adem Ayem Homestay,Non Bintang,Akomodasi Lain,5,Suryodiningratan No. 913,-7.818357787,110.3607297,429520.6872,9135729.406,,,,,,,,,,,,,,,,
8,Adhisthana Hotel,Non Bintang,Melati,54,Jl. Prawirotaman II No. 613,-7.819821,110.37219,430784.4695,9135569.538,,,,,,,,,,,,,,,,
9,Adya Nalendra Hotel,Non Bintang,Melati,15,Jl. Trimargo Kulon No. 94,-7.779148,110.36407,429882.4375,9140064.883,,,,,,,,,,,,,,,,
10,Agung Guest House,Non Bintang,Melati,11,Prawirotaman MG III/609,-7.820158,110.37243,430810.9858,9135532.32,,,,,,,,,,,,,,,,
11,Agung Inn And Tourist Service,Non Bintang,Pondok Wisata,7,Jl. Prawirotaman No. 30,-7.819057,110.37151,430709.3711,9135653.892,,,,,,,,,,,,,,,,
12,Agung Kencana Hotel,Non Bintang,Melati,30,Jl. Menteri Supeno No. 55,-7.815849,110.3798,431622.851,9136009.913,,,,,,,,,,,,,,,,
13,Agung Mas Hotel,Non Bintang,Melati,38,Jl. Hos Cokroaminoto No. 108,-7.791195,110.35397,428770.8017,9138731.314,,,,,,,,,,,,,,,,
14,Ainard Wisma,Non Bintang,Pondok Wisata,12,Jl. Miliran No.14 RT 014 RW 04,-7.800715,110.3878,432502.4561,9137684.368,,,,,,,,,,,,,,,,
15,Airlangga Hotel,Bintang,Bintang Satu,24,Jl. Prawirotaman No. 6-8,-7.818848,110.36898,430430.3946,9135676.581,,,,,,,,,,,,,,,,
16,Akur Hotel,Non Bintang,Melati,23,Jl. Mataram No. 8,-7.793972,110.36785,430301.6862,9138426.612,,,,,,,,,,,,,,,,
17,Akur Losmen,Non Bintang,Pondok Wisata,3,Sosrowijayan Kulon GT I/183,-7.791103,110.36333,429802.8315,9138743.051,,,,,,,,,,,,,,,,
18,Al Barokah Hotel,Non Bintang,Melati,20,Jl. Balirejo No. 27,-7.797191,110.39404,433189.9074,9138074.962,,,,,,,,,,,,,,,,
19,Aladira Homestay,Non Bintang,Vila,3,Ngadinegaran MJ III No. 21,-7.814342,110.36394,429873.9632,9136173.916,,,,,,,,,,,,,,,,
20,All Attar Penginapan,Non Bintang,Melati,12,Jl. Veteran No. 218 Pandeyan,-7.81589,110.38518,432216.0256,9136006.25,,,,,,,,,,,,,,,,
21,Aloha Hotel,Non Bintang,Melati,15,Prawirotaman MG III/573 B,-7.818566,110.37221,430786.4677,9135708.29,,,,,,,,,,,,,,,,
22,AM Penginapan,Non Bintang,Melati,6,Jl. Ontorejo 2,-7.803286,110.3536,428732.0511,9137394.503,,,,,,,,,,,,,,,,
23,Amalia Hotel,Bintang,Bintang Satu,20,Sosrowijayan GT I/108,-7.792013,110.36532,430022.4022,9138642.775,,,,,,,,,,,,,,,,
24,Amarilis Homestay,Non Bintang,Akomodasi Lain,3,"Badran, Gg. Wijaya Kusuma No. 3 RT 42 RW 09",-7.787669,110.35629,429026.0143,9139121.529,,,,,,,,,,,,,,,,
25,Amaris Hotel,Bintang,Bintang Dua,71,Jl. Pangeran Diponegoro No.87,-7.782986,110.36284,429747.4513,9139640.362,,,,,,,,,,,,,,,,
26,Amaris Malioboro Hotel,Bintang,Bintang Empat,110,Jl. Pajeksan No. 10 Sosromenduran,-7.795822,110.36467,429951.3659,9138221.555,,,,,,,,,,,,,,,,
27,Amaris Sagan Hotel,Bintang,Bintang Tiga,102,Jl. Prof Herman Yohanes No.16,-7.779943,110.3792,431550.8624,9139979.467,,,,,,,,,,,,,,,,
28,AMM Wisma,Non Bintang,Akomodasi Lain,6,Purbayan,-7.830131,110.40297,434179.6781,9134434.637,,,,,,,,,,,,,,,,
29,Ancora Hotel,Non Bintang,Melati,22,Jl. Letjen Suprapto No. 36,-7.798221,110.35661,429063.0746,9137954.983,,,,,,,,,,,,,,,,
30,Anda Losmen,Non Bintang,Melati,5,Sosrowijayan Wetan GT I/143,-7.790364,110.36407,429884.3018,9138824.876,,,,,,,,,,,,,,,,
31,Andika Hotel,Non Bintang,Melati,37,Jl. Kapten Tendean No.61,-7.807057,110.35068,428410.7388,9136977.097,,,,,,,,,,,,,,,,
32,Andika Putra Hotel,Non Bintang,Melati,30,Jl. Kapten Tendean No. 6,-7.801579,110.3514,428489.193,9137582.853,,,,,,,,,,,,,,,,
33,Andrea Hotel,Non Bintang,Melati,8,Sosrowijayan Wetan GT I/140,-7.790214,110.36405,429882.0716,9138841.456,,,,,,,,,,,,,,,,
34,Anugerah Penginapan,Non Bintang,Melati,5,Pajeksan GT I/688,-7.792806,110.36535,430025.8417,9138555.108,,,,,,,,,,,,,,,,
35,Anugrah Jaya Regina Losmen,Non Bintang,Melati,15,Sosrowijayan Wetan / 79,-7.786732,110.36392,429867.1585,9139226.394,,,,,,,,,,,,,,,,
36,Arawa Home Stay,Non Bintang,Akomodasi Lain,4,Timoho Gg. Sidoluhur 940,-7.788925,110.39438,433226.0856,9138988.875,,,,,,,,,,,,,,,,
37,Arimbi Lily Hotel,Non Bintang,Melati,11,Sosrowijayan Wetan GT I/75,-7.790818,110.36568,430061.8979,9138774.95,,,,,,,,,,,,,,,,
38,Arizon Hotel,Non Bintang,Melati,22,Jl. Jlagran No.6,-7.790767,110.36044,429484.1205,9138779.717,,,,,,,,,,,,,,,,
39,Arjuna 31 Homestay,Non Bintang,Akomodasi Lain,19,Arjuna No. 31,-7.80423,110.34794,428108.1508,9137289.177,,,,,,,,,,,,,,,,
40,Arjuna Hotel,Bintang,Bintang Tiga,72,Jl. P. Mangkubumi/Jl. Margo Utomo No. 44,-7.784965,110.36714,430221.9106,9139422.281,,,,,,,,,,,,,,,,
41,Arjuna Wisma,Non Bintang,Melati,10,Jl. Tirtodipuran No. 15,-7.814581,110.36363,429839.824,9136147.441,,,,,,,,,,,,,,,,
42,Arkananta Villa ,Non Bintang,Akomodasi Lain,7,Tirtodipuran No. 49,-7.818305,110.36596,430097.3378,9135736.114,,,,,,,,,,,,,,,,
43,Armany Homestay,Non Bintang,Akomodasi Lain,4,Bugisan No. 36,-7.793753,110.35243,428601.4326,9138448.249,,,,,,,,,,,,,,,,
44,Armira Homestay,Non Bintang,Akomodasi Lain,2,Pakuncen No. 21,-7.780645,110.34706,428007.0947,9139896.523,,,,,,,,,,,,,,,,
